pair_id,model,phenomenon,grammatical,ungrammatical,prompt,response,choice,correct,order
ON_QUIRKY_CASE_001,llama-3.3-70b-versatile,QUIRKY_CASE,"Hér hefr upp ok segir frá þeim manni , er Sigi er nefndr ok kallaðr , at héti sonr Óðins .","Hér hefr upp ok segir frá þeir manni , er Sigi er nefndr ok kallaðr , at héti sonr Óðins .","Which of the following Old Norse sentences is grammatically correct?

A: Hér hefr upp ok segir frá þeim manni , er Sigi er nefndr ok kallaðr , at héti sonr Óðins .
B: Hér hefr upp ok segir frá þeir manni , er Sigi er nefndr ok kallaðr , at héti sonr Óðins .

Answer with A or B only.",A,A,TRUE,A_gram
ON_QUIRKY_CASE_002,llama-3.3-70b-versatile,QUIRKY_CASE,"Þetta vápn sýndist öllum svá gott , at engi þóttist sét hafa jafngott sverð , ok býðr Siggeirr honum at vega þrjú jafnvægi gulls .","Þetta vápn sýndist öllum svá gott , at engi þóttist sét hafa jafngott sverð , ok býðr Siggeirr hann at vega þrjú jafnvægi gulls .","Which of the following Old Norse sentences is grammatically correct?

A: Þetta vápn sýndist öllum svá gott , at engi þóttist sét hafa jafngott sverð , ok býðr Siggeirr honum at vega þrjú jafnvægi gulls .
B: Þetta vápn sýndist öllum svá gott , at engi þóttist sét hafa jafngott sverð , ok býðr Siggeirr hann at vega þrjú jafnvægi gulls .

Answer with A or B only.",B,B,FALSE,A_gram
ON_QUIRKY_CASE_003,llama-3.3-70b-versatile,QUIRKY_CASE,"Ok er hann kemr aptr , segir hann henni , at dauðr sé einn þeira .","Ok er hann kemr aptr , segir hann hon , at dauðr sé einn þeira .","Which of the following Old Norse sentences is grammatically correct?

A: Ok er hann kemr aptr , segir hann hon , at dauðr sé einn þeira .
B: Ok er hann kemr aptr , segir hann henni , at dauðr sé einn þeira .

Answer with A or B only.",B,B,TRUE,B_gram
ON_QUIRKY_CASE_004,llama-3.3-70b-versatile,QUIRKY_CASE,"En er þeir koma , þá segir hann þeim allan atburð hvé farit hafði með þeim ok ylginni .","En er þeir koma , þá segir hann þeir allan atburð hvé farit hafði með þeim ok ylginni .","Which of the following Old Norse sentences is grammatically correct?

A: En er þeir koma , þá segir hann þeir allan atburð hvé farit hafði með þeim ok ylginni .
B: En er þeir koma , þá segir hann þeim allan atburð hvé farit hafði með þeim ok ylginni .

Answer with A or B only.",B,B,TRUE,B_gram
ON_QUIRKY_CASE_005,llama-3.3-70b-versatile,QUIRKY_CASE,"Nú hleypr hann í höllina innar fyrir föður sinn ok segir honum , hvat hann hefir sét .","Nú hleypr hann í höllina innar fyrir föður sinn ok segir hann , hvat hann hefir sét .","Which of the following Old Norse sentences is grammatically correct?

A: Nú hleypr hann í höllina innar fyrir föður sinn ok segir hann , hvat hann hefir sét .
B: Nú hleypr hann í höllina innar fyrir föður sinn ok segir honum , hvat hann hefir sét .

Answer with A or B only.",B,B,TRUE,B_gram
ON_QUIRKY_CASE_006,llama-3.3-70b-versatile,QUIRKY_CASE,"Ok er nátta tekr , þá mælti Sinfjötli til Sigmundar : `` Ekki ætla ek okkr mat skorta um hríð .","Ok er nátta tekr , þá mælti Sinfjötli til Sigmundar : `` Ekki ætla ek vit mat skorta um hríð .","Which of the following Old Norse sentences is grammatically correct?

A: Ok er nátta tekr , þá mælti Sinfjötli til Sigmundar : `` Ekki ætla ek vit mat skorta um hríð .
B: Ok er nátta tekr , þá mælti Sinfjötli til Sigmundar : `` Ekki ætla ek okkr mat skorta um hríð .

Answer with A or B only.",B,B,TRUE,B_gram
ON_QUIRKY_CASE_007,llama-3.3-70b-versatile,QUIRKY_CASE,"Sinfjötli svarar : `` Hvárt mantu þat , er þú vart merrin með hestinum Grana , ok reið ek þér á skeið á Brávelli ?","Sinfjötli svarar : `` Hvárt mantu þat , er þú vart merrin með hestinum Grana , ok reið ek þú á skeið á Brávelli ?","Which of the following Old Norse sentences is grammatically correct?

A: Sinfjötli svarar : `` Hvárt mantu þat , er þú vart merrin með hestinum Grana , ok reið ek þér á skeið á Brávelli ?
B: Sinfjötli svarar : `` Hvárt mantu þat , er þú vart merrin með hestinum Grana , ok reið ek þú á skeið á Brávelli ?

Answer with A or B only.",A,A,TRUE,A_gram
ON_QUIRKY_CASE_008,llama-3.3-70b-versatile,QUIRKY_CASE,Þeir mættust í borgarhliði ok segja honum hersögu .,Þeir mættust í borgarhliði ok segja hann hersögu .,"Which of the following Old Norse sentences is grammatically correct?

A: Þeir mættust í borgarhliði ok segja honum hersögu .
B: Þeir mættust í borgarhliði ok segja hann hersögu .

Answer with A or B only.",A,A,TRUE,A_gram
ON_QUIRKY_CASE_009,llama-3.3-70b-versatile,QUIRKY_CASE,"Þá var konungr drukkinn mjök , ok því sagði hann svá .","Þá var konungr drukkinn mjök , ok þat sagði hann svá .","Which of the following Old Norse sentences is grammatically correct?

A: Þá var konungr drukkinn mjök , ok þat sagði hann svá .
B: Þá var konungr drukkinn mjök , ok því sagði hann svá .

Answer with A or B only.",B,B,TRUE,B_gram
ON_QUIRKY_CASE_010,llama-3.3-70b-versatile,QUIRKY_CASE,"Ambáttin hefir svör fyrir þeim ok segir fall Sigmundar konungs ok Eylima konungs ok margs annars stórmennis ok svá , hverir gert hafa .","Ambáttin hefir svör fyrir þeir ok segir fall Sigmundar konungs ok Eylima konungs ok margs annars stórmennis ok svá , hverir gert hafa .","Which of the following Old Norse sentences is grammatically correct?

A: Ambáttin hefir svör fyrir þeim ok segir fall Sigmundar konungs ok Eylima konungs ok margs annars stórmennis ok svá , hverir gert hafa .
B: Ambáttin hefir svör fyrir þeir ok segir fall Sigmundar konungs ok Eylima konungs ok margs annars stórmennis ok svá , hverir gert hafa .

Answer with A or B only.",A,A,TRUE,A_gram
